"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211"
"1",2.7795,3.4487,2.0622,-2.8965,0.9108,4.5839,0.8226,1.9954,7.1497,-3.5965,-2.1176,4.158,-4.6484,-1.1264,-0.236900000000000,5.8715,2.379,1.9983,0.143,2.5815,-2.5991,4.3348,-3.638,3.9102,-5.1074,-1.1952,-0.146400000000000,-3.6697,-1.10200000000000,1.6501,0.9572,-6.8587,1.9469,-1.5897,-1.0798,-0.116700000000000,-2.1804,2.0398,4.2376,-1.2571,0.5802,1.3033,-0.3838,-0.7672,-4.1251,-3.5505,-4.6357,1.8005,-3.045,-1.4432,5.7546,0.4713,0.2874,-4.3742,-1.0754,-1.8406,7.9234,-3.2453,3.1835,-6.1474,-3.0558,-0.875,-5.7188,1.406,-1.4886,-0.4288,-0.8722,-0.8798,7.7167,-4.3126,-1.9802,-5.0755,0.366,0.5833,-4.2973,-4.1966,-3.8312,2.0316,2.3948,-3.5147,-1.8263,4.8102,3.218,6.1051,2.6902,-0.7037,-3.1323,-1.5539,-0.3928,8.0099,-1.4089,7.0332,8.6912,-4.3227,1.4704,0.6436,-3.1308,0.9877,0.117,-2.2766,-4.8322,-0.9387,4.2039,-3.3088,1.1162,-0.7434,-4.5421,-6.3945,3.3579,3.482,1.5121,-5.4326,0.4988,-1.0355,-10.6645,-1.97,5.8626,-10.1816,-5.0168,-1.1067,-2.6457,-2.5708,0.7793,-0.3508,-4.0611,-4.3314,-2.4712,7.6709,-3.2464,-0.120100000000001,-7.8765,0.1936,2.2434,1.1577,-8.847,0.8649,-3.581,-0.2542,2.2801,-3.522,-2.1504,2.1483,4.2576,2.8435,-0.5612,3.8639,-1.1856,8.6523,-3.0435,7.7179,-3.3125,-3.7457,1.2186,-5.9379,6.6113,2.0647,0.148400000000001,-0.0917,2.9494,4.3796,-4.4983,-0.8461,4.1704,-2.0503,-3.7945,-4.1991,1.7907,0.8166,9.8135,-2.5475,5.4867,-2.0429,-4.0337,-1.1145,-0.590999999999999,0.8294,-2.8189,5.6814,-3.6654,0.531499999999999,-0.4648,-3.7653,-1.7183,1.5569,-2.5845,-2.0924,1.0505,-4.6372,2.3505,-0.5991,6.0774,3.5297,-2.54,6.247,-5.6524,-0.4654,-0.4125,-3.5017,4.2476,-4.6862,-2.2634,-3.1196,-1.6335,-2.9248,8.2259,5.1667,5.3542,3.0226,-4.9131,3.8665,-9.9397
"2",2.7795,3.4487,2.0622,-2.8965,0.9108,4.5839,0.8226,1.9954,7.1497,-3.5965,-2.1176,4.158,-4.6484,-1.1264,-0.236900000000000,5.8715,2.379,1.9983,0.143,2.5815,-2.5991,4.3348,-3.638,3.9102,-5.1074,-1.1952,-0.146400000000000,-3.6697,-1.10200000000000,1.6501,0.9572,-6.8587,1.9469,-1.5897,-1.0798,-0.116700000000000,-2.1804,2.0398,4.2376,-1.2571,0.5802,1.3033,-0.3838,-0.7672,-4.1251,-3.5505,-4.6357,1.8005,-3.045,-1.4432,5.7546,0.4713,0.2874,-4.3742,-1.0754,-1.8406,7.9234,-3.2453,3.1835,-6.1474,-3.0558,-0.875,-5.7188,1.406,-1.4886,-0.4288,-0.8722,-0.8798,7.7167,-4.3126,-1.9802,-5.0755,0.366,0.5833,-4.2973,-4.1966,-3.8312,2.0316,2.3948,-3.5147,-1.8263,4.8102,3.218,6.1051,2.6902,-0.7037,-3.1323,-1.5539,-0.3928,8.0099,-1.4089,7.0332,8.6912,-4.3227,1.4704,0.6436,-3.1308,0.9877,0.117,-2.2766,-4.8322,-0.9387,4.2039,-3.3088,1.1162,-0.7434,-4.5421,-6.3945,3.3579,3.482,1.5121,-5.4326,0.4988,-1.0355,-10.6645,-1.97,5.8626,-10.1816,-5.0168,-1.1067,-2.6457,-2.5708,0.7793,-0.3508,-4.0611,-4.3314,-2.4712,7.6709,-3.2464,-0.120100000000001,-7.8765,0.1936,2.2434,1.1577,-8.847,0.8649,-3.581,-0.2542,2.2801,-3.522,-2.1504,2.1483,4.2576,2.8435,-0.5612,3.8639,-1.1856,8.6523,-3.0435,7.7179,-3.3125,-3.7457,1.2186,-5.9379,6.6113,2.0647,0.148400000000001,-0.0917,2.9494,4.3796,-4.4983,-0.8461,4.1704,-2.0503,-3.7945,-4.1991,1.7907,0.8166,9.8135,-2.5475,5.4867,-2.0429,-4.0337,-1.1145,-0.590999999999999,0.8294,-2.8189,5.6814,-3.6654,0.531499999999999,-0.4648,-3.7653,-1.7183,1.5569,-2.5845,-2.0924,1.0505,-4.6372,2.3505,-0.5991,6.0774,3.5297,-2.54,6.247,-5.6524,-0.4654,-0.4125,-3.5017,4.2476,-4.6862,-2.2634,-3.1196,-1.6335,-2.9248,8.2259,5.1667,5.3542,3.0226,-4.9131,3.8665,-9.9397
"3",2.7796,3.4476,2.062,-2.896,0.913,4.5841,0.8245,1.9945,7.1503,-3.5943,-2.1167,4.1575,-4.6471,-1.1249,-0.234600000000000,5.8722,2.3813,1.997,0.1449,2.5787,-2.5987,4.3369,-3.6382,3.9114,-5.107,-1.1955,-0.1448,-3.6706,-1.1022,1.6501,0.9535,-6.8584,1.9462,-1.5908,-1.0802,-0.1176,-2.1797,2.0381,4.2383,-1.2555,0.5808,1.3028,-0.3866,-0.7676,-4.1251,-3.5497,-4.6307,1.7981,-3.0461,-1.4423,5.7545,0.4681,0.287,-4.3727,-1.0745,-1.8416,7.9213,-3.2464,3.1835,-6.1477,-3.0569,-0.8752,-5.7181,1.4073,-1.488,-0.4312,-0.8733,-0.8808,7.7167,-4.3136,-1.9811,-5.0751,0.366,0.5838,-4.2961,-4.1981,-3.8309,2.0304,2.3947,-3.5124,-1.8271,4.8093,3.2193,6.1034,2.6906,-0.7028,-3.1336,-1.5539,-0.3913,8.0081,-1.4091,7.0337,8.6889,-4.3215,1.4706,0.6444,-3.1299,0.989600000000001,0.118,-2.2761,-4.8308,-0.9389,4.2024,-3.3092,1.1156,-0.7431,-4.5427,-6.3937,3.3585,3.4808,1.5134,-5.4329,0.4989,-1.0349,-10.6637,-1.9695,5.8625,-10.1817,-5.0136,-1.107,-2.6471,-2.5717,0.7783,-0.3487,-4.0626,-4.3294,-2.4709,7.6681,-3.2473,-0.1189,-7.8758,0.190899999999999,2.2446,1.158,-8.8441,0.8634,-3.5819,-0.253700000000000,2.281,-3.5215,-2.1518,2.1474,4.2562,2.8441,-0.5609,3.8598,-1.1872,8.6486,-3.0431,7.716,-3.3113,-3.7456,1.2194,-5.9373,6.6108,2.0644,0.145100000000000,-0.0919,2.95,4.3792,-4.4988,-0.8465,4.1692,-2.0507,-3.7935,-4.1993,1.7914,0.8164,9.8123,-2.55,5.4863,-2.0434,-4.0323,-1.1137,-0.5907,0.8291,-2.8198,5.6808,-3.6633,0.5322,-0.465299999999999,-3.7654,-1.7191,1.5597,-2.5833,-2.0919,1.0486,-4.6364,2.3489,-0.600000000000001,6.0794,3.5303,-2.5382,6.2456,-5.6496,-0.4649,-0.4123,-3.5014,4.2487,-4.6862,-2.2643,-3.1193,-1.6328,-2.9257,8.2259,5.1666,5.3542,3.0235,-4.9123,3.8663,-9.9412
"4",2.781,3.439,2.0609,-2.8925,0.9294,4.5843,0.8394,1.987,7.1533,-3.5789,-2.11,4.156,-4.6374,-1.1135,-0.2157,5.8767,2.3972,1.9889,0.16,2.56,-2.5968,4.3522,-3.6393,3.918,-5.1034,-1.1969,-0.132800000000000,-3.6753,-1.1029,1.65,0.9245,-6.8559,1.9401,-1.5985,-1.0828,-0.124700000000000,-2.1736,2.0273,4.2429,-1.2446,0.5853,1.2992,-0.4086,-0.7721,-4.1256,-3.545,-4.5924,1.7798,-3.0532,-1.4388,5.7554,0.4431,0.2836,-4.3642,-1.0677,-1.8486,7.905,-3.252,3.1822,-6.1495,-3.0656,-0.8784,-5.7132,1.4151,-1.4836,-0.4488,-0.8807,-0.8871,7.7153,-4.3217,-1.9898,-5.0725,0.3676,0.588,-4.2865,-4.2083,-3.8272,2.0219,2.3928,-3.4942,-1.836,4.8028,3.2304,6.0918,2.6938,-0.6972,-3.1425,-1.5529,-0.38,7.9929,-1.4102,7.0362,8.6722,-4.3099,1.4718,0.6489,-3.1217,1.0023,0.1259,-2.2725,-4.8202,-0.9407,4.1913,-3.3114,1.1116,-0.7412,-4.5456,-6.3886,3.3609,3.4718,1.5232,-5.4348,0.4999,-1.0311,-10.6591,-1.9644,5.8632,-10.1832,-4.9897,-1.1066,-2.6569,-2.5784,0.7716,-0.3342,-4.0717,-4.315,-2.4659,7.6469,-3.2522,-0.111200000000000,-7.8697,0.172500000000000,2.2542,1.1589,-8.8198,0.850999999999999,-3.5886,-0.249400000000001,2.2878,-3.5185,-2.1632,2.1417,4.2461,2.8496,-0.557499999999999,3.8285,-1.1986,8.6199,-3.0415,7.7036,-3.3023,-3.7444,1.2244,-5.9332,6.6063,2.0614,0.122900000000000,-0.0964,2.9543,4.3751,-4.5014,-0.8493,4.1585,-2.0544,-3.784,-4.2008,1.7966,0.8142,9.8029,-2.569,5.483,-2.0468,-4.0221,-1.1068,-0.587,0.8278,-2.8252,5.6765,-3.6478,0.535500000000001,-0.469099999999999,-3.7655,-1.7249,1.5817,-2.5737,-2.088,1.0349,-4.6303,2.3362,-0.607099999999999,6.0927,3.5338,-2.5258,6.2367,-5.6297,-0.4611,-0.410399999999999,-3.4986,4.2576,-4.6844,-2.2706,-3.1179,-1.6277,-2.9301,8.2249,5.1655,5.3543,3.0302,-4.9075,3.8641,-9.9516
"5",2.7845,3.4095,2.0546,-2.8813,0.9876,4.5759,0.888,1.9607,7.1558,-3.5281,-2.088,4.1571,-4.6047,-1.0698,-0.144699999999999,5.8884,2.4493,1.9664,0.2222,2.5043,-2.594,4.4084,-3.6431,3.9371,-5.0834,-1.1989,-0.0947,-3.6885,-1.0978,1.6469,0.8171,-6.8447,1.914,-1.6276,-1.0971,-0.149,-2.1519,1.9919,4.2573,-1.2074,0.6054,1.2798,-0.4935,-0.788,-4.128,-3.5293,-4.4534,1.7099,-3.0803,-1.4295,5.7624,0.3527,0.2691,-4.3349,-1.0434,-1.8729,7.8407,-3.2702,3.1728,-6.1541,-3.1028,-0.8879,-5.694,1.4397,-1.4684,-0.5122,-0.9082,-0.9086,7.7063,-4.3517,-2.0243,-5.0655,0.3762,0.6028,-4.2527,-4.244,-3.8082,1.9921,2.3874,-3.4246,-1.8733,4.7817,3.2677,6.0503,2.701,-0.6767,-3.1695,-1.5451,-0.337,7.9347,-1.4133,7.0394,8.6108,-4.2583,1.4734,0.6633,-3.0897,1.0453,0.1548,-2.2586,-4.7831,-0.9468,4.1499,-3.3144,1.0954,-0.7367,-4.5537,-6.3708,3.3602,3.4421,1.5548,-5.4445,0.5011,-1.0139,-10.6412,-1.9437,5.8701,-10.189,-4.9004,-1.0989,-2.6908,-2.6041,0.7499,-0.278800000000000,-4.0954,-4.2664,-2.4413,7.5712,-3.2636,-0.089900,-7.8476,0.115200000000001,2.2877,1.1548,-8.7279,0.804499999999999,-3.6064,-0.2309,2.3107,-3.5035,-2.2012,2.1207,4.2131,2.8699,-0.5421,3.7163,-1.2366,8.5063,-3.0373,7.6641,-3.2702,-3.7352,1.2407,-5.9194,6.5896,2.051,0.0533999999999999,-0.116,2.9672,4.3595,-4.5049,-0.8586,4.1181,-2.06950000000000,-3.7432,-4.2066,1.8158,0.807,9.7655,-2.6381,5.471,-2.0577,-3.9864,-1.0809,-0.5689,0.8204,-2.8435,5.6568,-3.5911,0.5458,-0.486500000000001,-3.7692,-1.7438,1.661,-2.5365,-2.0724,0.9864,-4.607,2.287,-0.633199999999999,6.1335,3.5409,-2.4773,6.2079,-5.5625,-0.4485,-0.4,-3.4873,4.2921,-4.6709,-2.292,-3.1144,-1.6107,-2.9427,8.2201,5.1582,5.3552,3.0571,-4.8909,3.8552,-9.9904
"6",2.7922,3.3444,2.0372,-2.8555,1.1266,4.5321,0.9898,1.9033,7.1429,-3.4207,-2.0418,4.1759,-4.5332,-0.9562,0.0313999999999997,5.9029,2.5547,1.9274,0.3896,2.3953,-2.598,4.5431,-3.6543,3.9694,-5.0164,-1.1966,-0.0202,-3.7091,-1.0626,1.6297,0.5564,-6.8131,1.8417,-1.7011,-1.1413,-0.2064,-2.1022,1.9205,4.2844,-1.1241,0.6629,1.2193,-0.7094,-0.8206,-4.136,-3.4958,-4.1172,1.5311,-3.1488,-1.4131,5.7861,0.1345,0.2276,-4.2692,-0.988299999999999,-1.9247,7.6691,-3.3085,3.1366,-6.1626,-3.2069,-0.9072,-5.6417,1.4849,-1.4353,-0.6622,-0.9741,-0.9541,7.6746,-4.4294,-2.118,-5.054,0.408,0.6384,-4.1742,-4.324,-3.7499,1.9264,2.379,-3.248,-1.9754,4.7393,3.3502,5.9514,2.7061,-0.627,-3.2184,-1.5168,-0.226100000000000,7.7872,-1.4177,7.0283,8.4589,-4.1098,1.471,0.69,-3.0033,1.1396,0.2241,-2.2239,-4.6972,-0.9651,4.0474,-3.3083,1.0541,-0.7335,-4.5651,-6.3297,3.3323,3.3771,1.6211,-5.4715,0.5019,-0.963,-10.5948,-1.8885,5.9027,-10.2021,-4.6773,-1.0631,-2.7634,-2.6713,0.7092,-0.137100000000000,-4.1252,-4.1599,-2.3685,7.3919,-3.2712,-0.0524000000000004,-7.7981,-0.00340000000000007,2.366,1.1225,-8.5026,0.6842,-3.6323,-0.1806,2.3578,-3.463,-2.287,2.0733,4.1416,2.9189,-0.4964,3.4534,-1.3174,8.2108,-3.031,7.581,-3.2006,-3.7023,1.2747,-5.8968,6.5471,2.0261,-0.0838000000000001,-0.1683,2.9924,4.3189,-4.496,-0.8764,4.0183,-2.113,-3.6298,-4.2213,1.8652,0.7926,9.6671,-2.8037,5.4396,-2.0797,-3.9045,-1.0164,-0.5129,0.795,-2.8871,5.5988,-3.4558,0.5646,-0.539,-3.7876,-1.7805,1.8502,-2.4401,-2.0289,0.872,-4.545,2.1602,-0.6992,6.2103,3.5437,-2.3555,6.1481,-5.4175,-0.4226,-0.365399999999999,-3.4577,4.3815,-4.6176,-2.3394,-3.1106,-1.5743,-2.9653,8.2047,5.1327,5.3558,3.1261,-4.8533,3.8345,-10.0846
"7",2.8078,3.2425,2.0061,-2.8014,1.3767,4.4087,1.1379,1.8128,7.0848,-3.2513,-1.9747,4.2385,-4.4148,-0.7319,0.3601,5.898,2.7021,1.872,0.7289,2.2325,-2.6258,4.7875,-3.6834,4.0088,-4.8622,-1.1793,0.0718000000000001,-3.7306,-0.9505,1.5752,0.0828000000000002,-6.7509,1.6908,-1.8457,-1.2346,-0.3116,-2.0207,1.822,4.3194,-0.9845,0.7851,1.0827,-1.1266,-0.8651,-4.1575,-3.4448,-3.4956,1.18,-3.2797,-1.3857,5.8398,-0.2688,0.137000000000000,-4.1548,-0.896,-2.0036,7.3134,-3.3693,3.0413,-6.1736,-3.4261,-0.9332,-5.5278,1.5337,-1.3782,-0.9329,-1.088,-1.023,7.5953,-4.5912,-2.3114,-5.0421,0.4932,0.7098,-4.037,-4.4589,-3.6206,1.8249,2.3719,-2.9031,-2.1817,4.6794,3.4838,5.7703,2.6883,-0.5305,-3.2709,-1.4515,-0.0078999999999998,7.5083,-1.4234,6.9673,8.1671,-3.7895,1.4575,0.7196,-2.8197,1.2929,0.349,-2.1575,-4.5537,-1.0102,3.8554,-3.2759,0.9773,-0.7419,-4.5694,-6.2579,3.226,3.2649,1.7308,-5.5202,0.504,-0.8481,-10.5026,-1.7828,6.003,-10.2199,-4.2512,-0.965900000000001,-2.8714,-2.8044,0.6641,0.1404,-4.1213,-3.9825,-2.2187,7.0687,-3.2416,-0.00509999999999966,-7.7189,-0.193000000000001,2.5102,1.0217,-8.0949,0.442400000000001,-3.6471,-0.0769000000000002,2.4244,-3.3951,-2.4335,2.0021,4.0268,3.0064,-0.391300000000001,2.9881,-1.443,7.6281,-3.0194,7.4504,-3.0924,-3.625,1.329,-5.8869,6.4668,1.9804,-0.2817,-0.2703,3.0293,4.2367,-4.4414,-0.8985,3.8335,-2.2075,-3.3945,-4.2457,1.9639,0.775899999999999,9.469,-3.1089,5.3701,-2.1116,-3.7711,-0.8987,-0.386,0.7283,-2.9729,5.4714,-3.2113,0.5887,-0.6585,-3.8381,-1.8295,2.1944,-2.2546,-1.9339,0.6609,-4.4144,1.9081,-0.8244,6.3071,3.5208,-2.124,6.0555,-5.1913,-0.3861,-0.279600000000000,-3.3999,4.5544,-4.4804,-2.4224,-3.1073,-1.5221,-2.9973,8.1688,5.067,5.3503,3.2495,-4.7792,3.8028,-10.2578
"8",2.8326,3.1206,1.9633,-2.6959,1.7482,4.1614,1.292,1.6947,6.9471,-3.0256,-1.902,4.3692,-4.2477,-0.3636,0.8539,5.835,2.8462,1.7886,1.287,2.0175,-2.6953,5.1484,-3.7476,4.0509,-4.5946,-1.1377,0.1218,-3.752,-0.709,1.4526,-0.615,-6.6518,1.4369,-2.0874,-1.3826,-0.4764,-1.9103,1.7273,4.3448,-0.7934,0.9934,0.8426,-1.7843,-0.9088,-4.2044,-3.3873,-2.5466,0.6052,-3.482,-1.3314,5.9238,-0.89,-0.0282,-3.9851,-0.7704,-2.0972,6.6941,-3.444,2.8513,-6.1842,-3.796,-0.9528,-5.3177,1.549,-1.2887,-1.3383,-1.2326,-1.103,7.4427,-4.8785,-2.6352,-5.0404,0.6679,0.8369,-3.8395,-4.6495,-3.3911,1.7114,2.3738,-2.3424,-2.5121,4.6136,3.6512,5.4884,2.6133,-0.3676,-3.2873,-1.3402,0.3393,7.0777,-1.4365,6.8084,7.6891,-3.235,1.4272,0.7258,-2.4915,1.495,0.5307,-2.0537,-4.3755,-1.1039,3.5602,-3.1985,0.8659,-0.7738,-4.5485,-6.1506,2.9776,3.0941,1.8903,-5.5784,0.5122,-0.6364,-10.3442,-1.6277,6.2289,-10.2322,-3.5769,-0.7723,-2.984,-3.0133,0.6505,0.5867,-4.0223,-3.7334,-1.9782,6.5863,-3.1263,0.0419000000000000,-7.6183,-0.4463,2.7421,0.8149,-7.4998,0.0425999999999984,-3.6305,0.100400000000000,2.4936,-3.3344,-2.6472,1.9304,3.8781,3.1295,-0.189299999999999,2.3129,-1.5937,6.6878,-2.9954,7.2796,-2.9588,-3.4837,1.4023,-5.93,6.3368,1.913,-0.5127,-0.4309,3.0729,4.0945,-4.2946,-0.9132,3.5547,-2.3715,-3.0075,-4.2743,2.1253,0.777,9.1376,-3.5755,5.2364,-2.1503,-3.6117,-0.7253,-0.154800000000000,0.5868,-3.1261,5.247,-2.848,0.6072,-0.8812,-3.9409,-1.8714,2.7086,-1.9677,-1.7563,0.329,-4.1794,1.498,-1.0137,6.3828,3.4427,-1.7691,5.9394,-4.9118,-0.3556,-0.113899999999999,-3.3054,4.8252,-4.2165,-2.5505,-3.0994,-1.473,-3.0452,8.1038,4.9321,5.3234,3.4175,-4.6413,3.7706,-10.5115
"9",2.8582,3.0021,1.9092,-2.512,2.2278,3.7599,1.3981,1.5454,6.698,-2.7433,-1.8435,4.5774,-4.0295,0.1696,1.477,5.67,2.9222,1.6509,2.0688,1.7399,-2.8112,5.6041,-3.8657,4.0993,-4.2254,-1.0679,0.048,-3.7926,-0.3118,1.2323,-1.4913,-6.5143,1.067,-2.4433,-1.5681,-0.7063,-1.7695,1.679,4.3329,-0.5742,1.2972,0.4957,-2.6672,-0.9489,-4.2847,-3.3456,-1.299,-0.220199999999999,-3.749,-1.2229,6.0171,-1.7286,-0.2961,-3.7582,-0.622199999999999,-2.1928,5.747,-3.505,2.5415,-6.1863,-4.3172,-0.9425,-4.9863,1.4862,-1.1562,-1.8656,-1.3595,-1.1744,7.2003,-5.3237,-3.0956,-5.0686,0.9586,1.041,-3.5978,-4.8973,-3.0383,1.632,2.392,-1.5447,-2.9516,4.5484,3.8118,5.0917,2.442,-0.1155,-3.2184,-1.1931,0.8023,6.5045,-1.4713,6.5072,6.9916,-2.4224,1.3768,0.6682,-1.9854,1.7236,0.7474,-1.9127,-4.2188,-1.2649,3.1679,-3.0637,0.7357,-0.8309,-4.4791,-5.9965,2.5357,2.8628,2.1118,-5.6137,0.5325,-0.3024,-10.0935,-1.452,6.6304,-10.2235,-2.6531,-0.4657,-3.0507,-3.2745,0.7077,1.1912,-3.777,-3.4193,-1.6543,5.9541,-2.8985,0.0758999999999999,-7.498,-0.7316,3.0833,0.4881,-6.7434,-0.5161,-3.5866,0.368700000000000,2.5484,-3.3549,-2.9357,1.8845,3.7122,3.2717,0.1482,1.465,-1.7294,5.3833,-2.9559,7.077,-2.8051,-3.2637,1.4847,-6.0578,6.1428,1.8291,-0.7491,-0.6568,3.117,3.8758,-4.0113,-0.9024,3.1898,-2.6088,-2.4782,-4.2969,2.344,0.8384,8.6535,-4.1921,5.0151,-2.196,-3.4893,-0.5059,0.2039,0.340100000000000,-3.3764,4.9136,-2.384,0.6066,-1.2348,-4.1075,-1.8778,3.3676,-1.595,-1.4598,-0.1336,-3.8026,0.9276,-1.2529,6.3842,3.2766,-1.3098,5.8163,-4.6219,-0.3576,0.148300000000001,-3.1692,5.1836,-3.8058,-2.7344,-3.0672,-1.456,-3.1287,8.0023,4.6983,5.251,3.5978,-4.3998,3.7567,-10.8143
"10",2.8638,2.9066,1.8314,-2.2358,2.7859,3.1917,1.4191,1.3376,6.3164,-2.3876,-1.8144,4.8478,-3.7532,0.8807,2.1519,5.3674,2.8671,1.4366,3.0293,1.3817,-2.9543,6.103,-4.0587,4.1523,-3.8065,-0.971,-0.2161,-3.8924,0.212200000000001,0.8922,-2.462,-6.339,0.5747,-2.9135,-1.7524,-0.9999,-1.5809,1.7114,4.2539,-0.3667,1.6949,0.0684000000000005,-3.7058,-1.0041,-4.3934,-3.3457,0.150700000000000,-1.2857,-4.0623,-1.0364,6.0836,-2.7465,-0.6896,-3.4788,-0.466899999999999,-2.2927,4.4404,-3.5002,2.1012,-6.163,-4.9459,-0.8699,-4.5368,1.3103,-0.9726,-2.4751,-1.3985,-1.2167,6.8683,-5.9305,-3.6664,-5.1491,1.3666,1.3371,-3.349,-5.2128,-2.5443,1.6354,2.4349,-0.5235,-3.4509,4.4791,3.9087,4.576,2.1468,0.2482,-3.021,-1.0393,1.3398,5.8221,-1.5407,6.038,6.0597,-1.3808,1.3025,0.5014,-1.2989,1.9469,0.9516,-1.7346,-4.1492,-1.4958,2.7004,-2.8632,0.6115,-0.9001,-4.3411,-5.7733,1.8861,2.5874,2.411,-5.5821,0.5689,0.1632,-9.7178,-1.3069,7.2299,-10.1856,-1.5306,-0.0558000000000014,-3.0185,-3.5275,0.853,1.8847,-3.3827,-3.0517,-1.2755,5.1876,-2.5881,0.0838000000000001,-7.3369,-0.9971,3.5454,0.0498000000000003,-5.8581,-1.1893,-3.5429,0.7372,2.5793,-3.5305,-3.3142,1.8691,3.5336,3.411,0.6435,0.517300000000001,-1.7967,3.777,-2.915,6.8464,-2.6156,-2.9562,1.5555,-6.2647,5.8596,1.7399,-0.9715,-0.96,3.1582,3.5711,-3.5682,-0.845,2.7489,-2.911,-1.8537,-4.2988,2.5864,1.0224,8.018,-4.909,4.6934,-2.2634,-3.4931,-0.2568,0.693,-0.0252999999999997,-3.748,4.4742,-1.864,0.5735,-1.7261,-4.3306,-1.8148,4.1087,-1.1754,-1.0167,-0.7157,-3.2529,0.2301,-1.5121,6.2623,2.9882,-0.7941,5.7041,-4.3552,-0.4251,0.497000000000002,-2.9921,5.5975,-3.2581,-2.9803,-2.9709,-1.4972,-3.2766,7.8594,4.3449,5.1058,3.7484,-4.0189,3.7844,-11.1024
"11",2.816,2.8499,1.6963,-1.8766,3.3793,2.4614,1.3463,1.0348,5.803,-1.937,-1.8267,5.1413,-3.4127,1.7728,2.7836,4.9096,2.6307,1.1346,4.0763,0.9355,-3.0783,6.5661,-4.3507,4.1921,-3.4077,-0.8516,-0.6884,-4.0976,0.7719,0.4174,-3.4337,-6.1395,-0.0433999999999992,-3.4746,-1.8828,-1.3513,-1.3172,1.845,4.0833,-0.2166,2.1817,-0.3938,-4.7962,-1.1051,-4.5099,-3.4189,1.6667,-2.5344,-4.3953,-0.7633,6.0874,-3.8654,-1.2185,-3.1546,-0.3277,-2.4201,2.796,-3.3585,1.5377,-6.0806,-5.6001,-0.7004,-4.0073,1.0022,-0.742,-3.1089,-1.2814,-1.2087,6.4583,-6.6633,-4.2972,-5.2975,1.871,1.7264,-3.1464,-5.6105,-1.8965,1.753,2.5133,0.6721,-3.9416,4.3926,3.8803,3.9565,1.7275,0.7438,-2.6636,-0.9111,1.8986,5.0824,-1.6413,5.4005,4.9041,-0.1846,1.2026,0.1894,-0.465400000000001,2.1256,1.0716,-1.5141,-4.2085,-1.7779,2.1861,-2.5951,0.5189,-0.9598,-4.1253,-5.455,1.061,2.3092,2.8012,-5.4418,0.6239,0.7464,-9.1905,-1.2457,8.0155,-10.1221,-0.3022,0.4238,-2.8493,-3.6923,1.0639,2.5597,-2.892,-2.6543,-0.8977,4.2937,-2.2792,0.0505999999999993,-7.0868,-1.1914,4.1163,-0.478,-4.8786,-1.9077,-3.5238,1.1926,2.58,-3.89,-3.7962,1.8608,3.3134,3.5294,1.2859,-0.4439,-1.7388,1.985,-2.9062,6.5824,-2.3619,-2.567,1.5902,-6.5118,5.4529,1.6653,-1.1653,-1.3557,3.194,3.1845,-2.9723,-0.722499999999998,2.2396,-3.2666,-1.2058,-4.264,2.7946,1.3893,7.2524,-5.6455,4.2737,-2.3824,-3.7125,-9.9999999999767e-05,1.2886,-0.4955,-4.2458,3.9411,-1.354,0.496700000000001,-2.3298,-4.5747,-1.639,4.8439,-0.76,-0.420900000000000,-1.3845,-2.5148,-0.5323,-1.7539,5.9855,2.5474,-0.2863,5.6162,-4.1332,-0.5884,0.8964,-2.7867,6.0286,-2.6035,-3.2789,-2.7547,-1.6079,-3.5164,7.6723,3.8664,4.8636,3.8254,-3.4865,3.8762,-11.2929
